title,imdb_id,existing_budget,scraped_budget,scraped_boxoffice,release_year,budget_difference
The Tango Player,tt0100742,,,,,
Woman Hungry,tt0471871,,,,,
Juarez,tt0031516,,,,,
Carmen,tt6875952,,,383996.0,,
Straw Dogs,tt0067800,,3251794.0,,,
The Snow Queen,tt29519891,,,,,
Ken Russell's Fall of the Louse of Usher,tt0268295,,,,,
Pedro Páramo,tt27717667,,900000.0,,,
Lady Snowblood 2: Love Song of Vengeance,tt0072157,,,,,
Good Morning Miss Dove,tt0048130,,1470000.0,,,
Lord of the Flies,tt0100054,,,13985225.0,,
The Great Santini,tt0079239,,4000000.0,4702575.0,,
The Thirteen Chairs,tt0065361,,,,,
I Will Repay,tt0014145,,,,,
If They Tell You I Fell,tt0098324,,,,,
Mysterious Island,tt1397514,,79000000.0,335288576.0,,
Chaplin,tt0103939,,31000000.0,9493259.0,,
Cyrano Agency,tt1786668,,,17917697.0,,
The Dark Half,tt0106664,,15000000.0,10611160.0,,
Sharpe's Siege,tt0117622,,,,,
Count Your Blessings,tt0052706,,2311000.0,,,
Midnight Express,tt0077928,,2300000.0,35000000.0,,
Green Dolphin Street,tt0039437,,4391000.0,2482.0,,
On the Beach,tt0053137,,2900000.0,,,
The Forbidden Kingdom,tt0865556,,55000000.0,128792411.0,,
Beastmaster 2: Through the Portal of Time,tt0101412,,6000000.0,869325.0,,
The Prime of Miss Jean Brodie,tt0064840,,,599.0,,
Mayerling,tt0064645,,5000000.0,,,
A Shot in the Dark,tt0058586,,,12368817.0,,
Nell,tt0110638,,24500000.0,106683817.0,,
"Francesco, giullare di Dio",tt0042477,,,4223.0,,
By Love Possessed,tt0054710,,2500000.0,,,
Shaft,tt0162650,,46000000.0,107626125.0,,
Red Beard,tt0058888,,,51790.0,,
Ray Bradbury's Chrysalis,tt1164089,,,,,
Next,tt29439114,,,8500000.0,,
The 39 Steps,tt0026029,,50000.0,52623.0,,
The King and the Clown,tt13186482,,,2279.0,,
The Man in Grey,tt0036135,,90000.0,,,
The Golden Spiders: A Nero Wolfe Mystery,tt0210714,,,,,
Liar Game: The Final Stage,tt1423953,,,24658706.0,,
Aurore,tt0430895,,7000000.0,,,
The Lady Vanishes,tt0030341,,,41493.0,,
Unforgivable,tt11233960,,,13062.0,,
Snow Falling on Cedars,tt0120834,,35000000.0,23049593.0,,
The House of Yes,tt0119324,,1500000.0,626057.0,,
The Good Companions,tt0373870,,,,,
Chitty Chitty Bang Bang,tt0062803,,10000000.0,7500564.0,,
Jekyll and Hyde... Together Again,tt0084171,,5000000.0,3792188.0,,
Day of Wrath,tt0036506,,,,,
The House of Mirth,tt0200720,,10000000.0,5164404.0,,
Owd Bob,tt0119851,,,,,
A Single Man,tt1315981,,7000000.0,24964890.0,,
Bright Young Things,tt0325123,,,2905499.0,,
The Killers,tt5537002,,200000000.0,158764012.0,,
Jud Süß,tt0032653,,,,,
This Sporting Life,tt0057578,,,813.0,,
For Love of the Game,tt0126916,,80000000.0,46112640.0,,
Virus,tt0120458,,75000000.0,30657854.0,,
The Last Song,tt1294226,,20000000.0,89137047.0,,
His Grace Gives Notice,tt0225940,,,,,
Dylan Dog: Dead of Night,tt1013860,,20000000.0,5782515.0,,
Gone to Earth,tt0042513,,,,,
The Canterbury Tales,tt0067647,,,9028.0,,
Little Lord Fauntleroy,tt0081062,,,,,
The Elusive Pimpernel,tt0042432,,,,,
The Mysterious Dr. Fu Manchu,tt0020197,,,,,
My Memories of Old Beijing,tt0085326,,,,,
K2,tt0102178,,,3106559.0,,
The Cheetah Girls: One World,tt1013542,,,,,
Ten Little Indians,tt0072263,,,,,
Vice Versa,tt0096380,,10000000.0,13664060.0,,
Don Quixote,tt0181212,,18000000.0,,,
King Richard and the Crusaders,tt0047150,,3000000.0,,,
The Bone Collector,tt0145681,,73000000.0,151493655.0,,
Inkheart,tt0494238,,60000000.0,62803180.0,,
The Ballad of the Sad Cafe,tt0101404,,,184890.0,,
The Badlanders,tt0051393,,1436000.0,4006.0,,
Red Dog,tt0803061,,8500000.0,21185724.0,,
Pula Rangadu,tt1580008,,18000000.0,,,
Wife for a Night,tt32598346,,,,,
The Little Princess,tt0031580,,1000000.0,,,
You Can't See 'round Corners,tt0062511,,,,,
Dokter Vlimmen,tt0077449,,1500000.0,,,
Last Orders,tt0253200,,12000000.0,6873892.0,,
The Five Forty-Eight,tt9239272,,1000.0,,,
The Little Girl Who Conquered Time,tt0074806,,1100000.0,,,
12:01 PM,tt0098962,,,,,
Musketeers Twenty Years After,tt0825279,,1000000.0,,,
Mausam,tt1627924,,,1473341.0,,
La Guerra del cerdo,tt0072878,,,,,
