title,imdb_id,existing_budget,scraped_budget,scraped_boxoffice,release_year,budget_difference
The Man in the Gray Flannel Suit,tt0049474,,2670000.0,,,
Pippi in the South Seas,tt0066227,,,,,
Dancing at Lughnasa,tt0120643,,,2287818.0,,
Easy Virtue,tt0808244,,,18463793.0,,
Gymkata,tt0089243,,,5730596.0,,
My Friend Flicka,tt0048887,,,,,
Whip It!,tt1172233,,15000000.0,16691303.0,,
Queen of the Damned,tt0238546,,35000000.0,45479110.0,,
Kung Fu Cult Master,tt12292314,,,,,
The Lords of Discipline,tt0085867,,,11787127.0,,
The Inugamis,tt0074691,,,,,
Yakshi – Faithfully Yours,tt2448852,,15000000.0,,,
She-Devil,tt0098309,,16000000.0,15351421.0,,
L'uccello dalle piume di cristallo,tt0065143,,500000.0,,,
Promise at Dawn,tt5061360,,,9242157.0,,
The Mirror Crack'd,tt0081163,,,11000000.0,,
The Prize,tt0057426,,,,,
All Men are Mortal,tt0112323,,3000000.0,,,
Hakuchi,tt0043614,,,,,
The Emperor's Candlesticks,tt0028829,,620000.0,,,
I giorni dell'abbandono,tt0474694,,,3904038.0,,
Zorba the Greek,tt0057831,,783000.0,516.0,,
Bobby Deerfield,tt0075774,,,9300000.0,,
Laura,tt0079449,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,,1800000.0,9631984.0,,
Stork,tt0067795,,80000.0,,,
Under My Skin,tt10332272,,,,,
La Religieuse,tt2215221,,,503090.0,,
The End of the Affair,tt0172396,,23000000.0,10827816.0,,
Lolita,tt0119558,,62000000.0,1071255.0,,
The Last Tycoon,tt3390892,,,,,
False Light,tt0104227,,,,,
"Hello, I'm Your Aunt!",tt0073927,,,,,
Destiny of a Man,tt21970892,,,,,
Bee Season,tt0387059,,14000000.0,6856989.0,,
Slugs,tt0093995,,,,,
The Dark,tt0468569,,185000000.0,1009053678.0,,
Hansel and Gretel: Witch Hunters,tt1428538,,50000000.0,226349749.0,,
Revenge of the Musketeers,tt1055369,,200000000.0,836303693.0,,
Hansel and Gretel,tt1428538,,50000000.0,226349749.0,,
Sevasadanam,tt0274825,,,,,
June 31st,tt0077114,,,,,
The Passover Plot,tt0075043,,,,,
Duet,tt0092346,,,,,
Shoot the Piano Player,tt13333156,,,,,
Tony Takitani,tt0420260,,,556268.0,,
Sabrina: Friends Forever,tt0350081,,,,,
Ten Little Indians,tt0072263,,,,,
Stolen Spring,tt0106949,,,,,
The Witches,tt0805647,,,29303571.0,,
Der Jäger von Fall,tt0132262,,,,,
The Three Musketeers,tt1509767,,75000000.0,132274484.0,,
Tom Sawyer,tt0070814,,,,,
Me and You,tt0421994,,7900000.0,2635305.0,,
Der Untergang,tt0363163,,13500000.0,92181574.0,,
Man on Fire,tt0328107,,70000000.0,130834852.0,,
The Other Boleyn Girl,tt0467200,,35000000.0,78201830.0,,
De Avonden,tt0096862,,,,,
Lore,tt6130902,,,,,
Oil Lamps,tt0067572,,,,,
Red Sorghum,tt0093206,,,108371.0,,
La figlia del capitano,tt2137944,,,,,
Kamikaze 1989,tt0084191,,,22440.0,,
The Stingiest Man In Town,tt0227562,,,,,
Blackadder's Christmas Carol,tt0094754,,,,,
The Breaking Point,tt0042281,,,,,
Pirates of Treasure Island,tt0811011,,1500000.0,,,
The Lonely Passion of Judith Hearne,tt0093431,,,,,
The Fox in the Chicken Coop,tt0078261,,,,,
Klapzubova jedenáctka,tt1348659,,,,,
L.A. Confidential,tt0119488,,35000000.0,126216940.0,,
Dinner at Eight,tt0023948,,435000.0,,,
The Fall of the House of Usher,tt15567174,,,,,
The Manitou,tt0077904,,3000000.0,,,
Vice Versa,tt0096380,,10000000.0,13664060.0,,
The Axe of Wandsbek,tt0043328,,,,,
Stormbreaker,tt0457495,,40000000.0,23937870.0,,
The Birth of a Nation,tt0004972,,110000.0,,,
We Are All Demons,tt23349440,,,,,
Demon Seed,tt0075931,,,,,
"Suddenly, Last Summer",tt0053318,,3000000.0,9830.0,,
A Tree Grows In Brooklyn,tt0038190,,,,,
Mrs. Salkım's Diamonds,tt0156038,,,,,
Devadas,tt8661814,,,86187.0,,
Naked Among Wolves,tt3822818,,,,,
Long Time Gone,tt0091426,,,,,
The Last of Mrs. Cheyney,tt0029120,,741000.0,,,
Lady of Burlesque,tt0036094,,,,,
Home of the Brave,tt0763840,,12000000.0,499620.0,,
Dersu Uzala,tt0071411,,4000000.0,14480.0,,
The Quiet Man,tt0045061,,1750000.0,,,
"Ditte, Child of Man",tt0038482,,,,,
The Twentieth Century Approaches,tt7969836,,,,,
White Night,tt0090319,,20000000.0,42160849.0,,
Gaslight,tt0036855,,,2391.0,,
We Bought a Zoo,tt1389137,,50000000.0,120081841.0,,
The Tars,tt0025324,,,,,
Lone Wolf,tt0085862,,5000000.0,12232628.0,,
The Man in the Iron Mask,tt0120744,,35000000.0,182968902.0,,
The Rabbit Is Me,tt0059347,,,,,
Twilight's Last Gleaming,tt0076845,,6200000.0,,,
Dobrý voják Švejk,tt0049147,,,,,
Sherlock Holmes Faces Death,tt0036348,,,,,
Bakonja fra Brne,tt0043311,,,,,
Tom Sawyer,tt0070814,,,,,
Thunder in the Valley,tt0039902,,,,,
Pharaoh,tt0060401,,,,,
Schnitzel Paradise,tt0446460,,850000.0,3585846.0,,
Guyver: Dark Hero,tt0109965,,900000.0,,,
Christiane F. - Wir Kinder vom Bahnhof Zoo,tt0082176,,4000000.0,,,
Rubber,tt1612774,,500000.0,101729.0,,
3:10 to Yuma,tt0381849,,55000000.0,70016220.0,,
The Secret Garden,tt0108071,,18000000.0,31181347.0,,
A Little Princess,tt0113670,,17000000.0,10015449.0,,
Still Not Quite Human,tt0105473,,,,,
The Flight of Dragons,tt0083951,,,,,
Manon des Sources,tt0091480,,,3940542.0,,
Scrooge,tt0044008,,,24.0,,
The General's Daughter,tt0144214,,95000000.0,149705852.0,,
Battlefield Earth,tt0185183,,73000000.0,29725663.0,,
Doomed Love,tt9249616,,,,,
Bør Børson Jr.,tt0069832,,,,,
Body of Lies,tt0758774,,70000000.0,115900897.0,,
Wälsungenblut,tt0058757,,,,,
Wind in the Willows,tt0118172,,,,,
It's a Wonderful Life,tt0038650,,3180000.0,9767242.0,,
A Kiss Before Dying,tt0049414,,,,,
The Lodger: A Story of the London Fog,tt0017075,,12000.0,83568.0,,
The Killing,tt1637727,,,,,
Madame Rosa,tt0076348,,,,,
The Virgin Soldiers,tt0065182,,,,,
Hoot,tt0453494,,15000000.0,8224998.0,,
Awakenings,tt0099077,,31000000.0,52096475.0,,
Thr3e,tt0486028,,2400000.0,1420418.0,,
The Bear,tt14452776,,,,,
Death Wish,tt0071402,,3000000.0,22000000.0,,
The Hanged Man,tt0765461,,,489066.0,,
The Last King of Scotland,tt0455590,,6000000.0,48618191.0,,
No Country for Old Men,tt0477348,,25000000.0,171632777.0,,
The Orange Girl,tt9493038,,,3580.0,,
Odd Thomas,tt1767354,,27000000.0,1149267.0,,
Abie's Irish Rose,tt0018613,,,,,
Munich,tt0408306,,70000000.0,130982407.0,,
Homecoming,tt0040446,,2654000.0,,,
V poiskakh kapitana Granta,tt0088635,,,,,
The Girl with the Dragon Tattoo,tt1568346,,90000000.0,232617430.0,,
Merveilleuse Angélique,tt0058343,,,,,
Thieves Like Us,tt0072274,,1125000.0,,,
The Wizard of Oz,tt0032138,,2777000.0,25637669.0,,
Sju svarta be-hå,tt0047502,,,,,
Appointment With Death,tt0094669,,6000000.0,960040.0,,
Veta,tt0246313,,,,,
Night and the City,tt0042788,,,43024.0,,
Little Children,tt0404203,,26000000.0,14821658.0,,
Anna Karenina,tt1781769,,40600000.0,68929150.0,,
Unknown,tt11563598,,,,,
Cinderella,tt1661199,,95000000.0,542358331.0,,
Den siste revejakta,tt1054116,,19500000.0,1988850.0,,
Catholics,tt0259766,,,,,
Babette's Feast,tt0092603,,,4637920.0,,
The Andromeda Nebula,tt0278781,,,,,
The Heart of Maryland,tt0017973,,,,,
Smooth Talk,tt0090037,,2400000.0,16785.0,,
Jane Eyre,tt1229822,,,34710627.0,,
Fanny Hill,tt0087237,,,,,
Robinzon Kruzo,tt0038888,,,,,
Hornblower: The Examination for Lieutenant,tt0194947,,,,,
Beau Brummel,tt0014702,,,,,
Islands in the Stream,tt0076211,,,5596173.0,,
Tere Mere Sapne,tt0067840,,,,,
Burnt Money,tt0227277,,,190075.0,,
Lunacy,tt11512720,,,,,
War and Peace,tt3910804,,,,,
The Lodger,tt0017075,,12000.0,83568.0,,
The Odd Couple,tt0065329,,,,,
Flight North,tt0089158,,,,,
Capitaine Conan,tt0115822,,10000000.0,,,
7 Faces of Dr. Lao,tt0057812,,,,,
The Virginian,tt0055710,,,,,
Stir of Echoes,tt0164181,,12000000.0,21142914.0,,
Docteur Jekyll et les femmes,tt0082272,,,,,
Intimacy,tt0256103,,,2672527.0,,
Gulliver's Travels,tt1320261,,112000000.0,237382724.0,,
Ashes and Diamonds,tt0052080,,6070000.0,,,
The Blind Sunflowers,tt1103192,,,5777441.0,,
À la recherche du temps perdu,tt1667060,,,,,
The Secret Life of Bees,tt0416212,,11000000.0,39952437.0,,
MASH,tt0066026,,3500000.0,81600000.0,,
The Magic Christian,tt0064622,,,,,
Le trio en si bémol,tt17555654,,,,,
The Boys of Paul Street,tt0062164,,,,,
The Hustler,tt0054997,,2125000.0,8072.0,,
Sweeney Todd: The Demon Barber Of Fleet Street,tt0408236,,50000000.0,153384272.0,,
Moby Dick,tt0049513,,4500000.0,353.0,,
Ghost Story,tt6265828,,100000.0,1951683.0,,
The Iron Giant,tt0129167,,70000000.0,23338190.0,,
The Damned United,tt1226271,,10000000.0,4091378.0,,
Shubho Mahurat,tt0368969,,,,,
Kimi ni Todoke,tt1745240,,,,,
Catch-22,tt0065528,,18000000.0,,,
Names in Marble,tt0339450,,24000000.0,83112.0,,
Helen of Troy,tt0340477,,,,,
Willy Wonka & the Chocolate Factory,tt0067992,,3000000.0,670213.0,,
We're Not Dressing,tt0025965,,,,,
Relative Values,tt0210943,,,,,
War Horse,tt1568911,,66000000.0,177584879.0,,
Destry,tt0046906,,,,,
Fist of the North Star,tt0113074,,7000000.0,,,
Mon petit doigt m'a dit...,tt0445570,,5300000.0,9170231.0,,
Impostor,tt0160399,,30000000.0,8694320.0,,
Sons and Lovers,tt0054326,,500000.0,,,
The Bridges at Toko-Ri,tt0046806,,,12556.0,,
My Name is Ivan,tt0460091,,,,,
Troy,tt0332452,,175000000.0,497409852.0,,
Wonder Boys,tt0185014,,55000000.0,33426588.0,,
Mitsou,tt0140383,,,,,
Don't Go Near the Water,tt0050327,,2495000.0,,,
My Mother's Castle,tt0099266,,,1477071.0,,
The Sisterhood of the Traveling Pants,tt0403508,,25000000.0,42013878.0,,
My Darling Clementine,tt0038762,,2000000.0,15293.0,,
The Unknown Soldier,tt4065552,,7000000.0,15717199.0,,
Oliver Twist,tt0380599,,60000000.0,42580321.0,,
Helen of Troy,tt0340477,,,,,
Abbott and Costello Meet the Invisible Man,tt0043255,,627000.0,,,
An-Magritt,tt0064024,,,,,
The Seventh Seal,tt0050976,,150000.0,311212.0,,
Effi Briest,tt0071458,,750000.0,8148.0,,
Love and Death on Long Island,tt0119574,,,2581012.0,,
The Ruins,tt0963794,,8000000.0,22818256.0,,
Captain Pantoja and the Special Services,tt0190611,,,38380.0,,
Weekend at Dunkirk,tt0058740,,10000000.0,,,
Dracula,tt0103874,,40000000.0,215862692.0,,
Cedie,tt0168376,,,,,
Dread,tt1331307,,,97438.0,,
The Motorcycle Diaries,tt0318462,,,57663711.0,,
Journey into Fear,tt0034922,,,,,
The Old Curiosity Shop,tt1023343,,,,,
Japan Sinks,tt12031040,,,,,
Wise Blood,tt0080140,,1000000.0,,,
Mermaids,tt0100140,,20000000.0,35419397.0,,
The Big Man,tt0099136,,,59227.0,,
The Time Traveler's Wife,tt0452694,,39000000.0,101344412.0,,
Alice in Wonderland,tt1014759,,200000000.0,1025468216.0,,
Airport 1975,tt0071110,,3000000.0,,,
Wild Geese,tt0078492,,10000000.0,,,
American Psycho 2,tt0283877,,10000000.0,,,
Storm in a Teacup,tt0029611,,,,,
The Blood Spattered Bride,tt31998751,,,,,
Called Back,tt0003744,,,,,
Asterix & Obelix : God save Britannia,tt1597522,,61000000.0,61319383.0,,
St. Peter's Umbrella,tt0052263,,,,,
The Count of Monte Cristo,tt29547746,,,,,
Wrong Side Up,tt0408120,,,955097.0,,
The Sea of Grass,tt0039806,,2349000.0,,,
Dance of Death,tt0010793,,,,,
The Town,tt0840361,,37000000.0,154026136.0,,
Utvandrarna,tt0067919,,,,,
Howards End,tt0104454,,,26352672.0,,
Bury My Heart at Wounded Knee,tt0821638,,,,,
Rancid Aluminium,tt0179443,,12000000.0,,,
Treasure Island,tt0025907,,,4957320.0,,
Safe Haven,tt1702439,,28000000.0,97594140.0,,
Boxcar Bertha,tt0068309,,600000.0,6443.0,,
Phantom,tt0293508,,70000000.0,154674241.0,,
La herida luminosa,tt22868136,,,,,
"Inju, the Beast in The Shadow",tt7908628,,,,,
Valmont,tt0098575,,33000000.0,1132112.0,,
Parc,tt0107290,,63000000.0,1104379926.0,,
Castle Freak,tt0112643,,,,,
Drakula İstanbul'da,tt0200588,,,,,
Uncovered,tt0111549,,,,,
The Deep Blue Sea,tt1700844,,,3143514.0,,
Ulysses,tt0047630,,500000.0,,,
K-PAX,tt0272152,,68000000.0,65001485.0,,
We Were Soldiers,tt0277434,,75000000.0,115374915.0,,
Byomkesh Bakshi,tt0157217,,,,,
Backstairs at the White House,tt0078565,,,,,
Laughter in the Dark,tt0064576,,,,,
Imitation of Life,tt0052918,,2000000.0,365.0,,
Paths of Glory,tt0050825,,935000.0,8290.0,,
Bloom,tt8888322,,,,,
Chimes at Midnight,tt0059012,,800000.0,126724.0,,
The Moon and Sixpence,tt0035078,,401000.0,,,
Little Golden Book Land,tt0305769,,,,,
Amphibian Man,tt0055844,,,,,
Gaku: Minna no Yama,tt1584921,,,18536792.0,,
The Ritz,tt0075144,,,,,
Le soldatesse,tt0059732,,,,,
On the Beach,tt0053137,,2900000.0,,,
Watch on the Rhine,tt0036515,,,,,
The Forty-first,tt0049783,,,,,
Mortadelo & Filemon: The Big Adventure,tt0314121,,7500000.0,24035064.0,,
Kim,tt0278866,,,,,
A Carmen of the North,tt33267521,,,,,
Hard to Be a God,tt15235260,,,,,
The Blue Angel,tt0020697,,500000.0,4410.0,,
Bhowani Junction,tt0049007,,3637000.0,,,
The Night of the Hunter,tt0048424,,795000.0,4690.0,,
Dracula,tt0103874,,40000000.0,215862692.0,,
Le voyageur de la Toussaint,tt0036495,,,,,
The Bad Seed,tt0048977,,1000000.0,,,
Tugumi,tt0100820,,,,,
Sophie's World,tt0125507,,70000000.0,,,
Erdgeist,tt0014022,,,,,
Julie Ganapathi,tt0353590,,,,,
The Butcher Boy,tt0118804,,,1995911.0,,
The Blood of Others,tt0088038,,,,,
The Vanishing,tt0096163,,,79226.0,,
The Corn Is Green,tt0037614,,,,,
Dead End,tt0308152,,900000.0,,,
Lost and Delirious,tt0245238,,,396897.0,,
Sinners' Holiday,tt0021381,,,,,
Oliver Twist,tt0380599,,60000000.0,42580321.0,,
Striptease,tt0117765,,40000000.0,113309743.0,,
Focus,tt2381941,,50100000.0,159162963.0,,
Ciske de rat,tt0087060,,,,,
Frankenstein: Day of the Beast,tt1748018,,1200000.0,,,
Dracula's Daughter,tt0027545,,,,,
La Marquise d'O...,tt0460862,,,,,
His Lordship's Last Will,tt0010206,,,,,
Útlaginn,tt0083267,,,,,
Where the Wild Things Are,tt0386117,,100000000.0,100140916.0,,
Vampires Vs. Zombies,tt0408309,,,,,
The Carpetbaggers,tt0057917,,3000000.0,,,
A Secret,tt33204697,,,,,
The Cosmonaut,tt1629747,,860000.0,,,
The Mask,tt0110475,,23000000.0,351583407.0,,
King Rat,tt0059358,,,,,
Anne of Green Gables,tt0088727,,,,,
Yagyu Secret Scrolls,tt0051208,,,,,
Cotton Comes to Harlem,tt0065579,,1200000.0,,,
Meet Joe Black,tt0119643,,90000000.0,142940100.0,,
Le Colonel Chabert,tt0109454,,,464284.0,,
Ender's Game,tt1731141,,110000000.0,125544024.0,,
Dreamcatcher,tt0285531,,68000000.0,81240406.0,,
Ena Exypno Exypno Moutro,tt0201589,,,,,
Harry Potter and the Half-Blood Prince,tt0417741,,250000000.0,941055851.0,,
A Woman Named Jackie,tt0101238,,,,,
Outcast,tt4229954,,,,,
Pornografia,tt7124882,,,,,
Eye of the Needle,tt0082351,,,17583634.0,,
Tanin no kao,tt0061065,,,35185.0,,
Jackie Brown,tt0119396,,12000000.0,39693845.0,,
Charlie Muffin,tt0078956,,,,,
The Snows of Kilimanjaro,tt0045162,,,16620.0,,
Fire on the Amazon,tt0106913,,2000000.0,,,
Vanity Fair,tt7076630,,,,,
Dear Octopus,tt0035785,,,,,
The Saragossa Manuscript,tt0059643,,,13377.0,,
Daughters of Pharmacist Kim,tt0322967,,,,,
Death Note: The Last Name,tt0810827,,20000000.0,47919757.0,,
Sleuth,tt0069281,,,,,
Night of the Eagle,tt0056279,,200000.0,,,
Casino Royale,tt0381061,,150000000.0,616577552.0,,
Old Yeller,tt0050798,,,91.0,,
Daddy Long Legs,tt0047969,,,,,
Candy,tt21328106,,,,,
Malina,tt0102383,,,,,
The Garden of Eden,tt1031243,,,22083.0,,
Elmer's Adventure: My Father's Dragon,tt9288748,,,,,
The Desperate Hours,tt0047985,,2388000.0,,,
The Song of Bernadette,tt0036377,,2000000.0,,,
Kismet,tt0048260,,2692960.0,,,
Carmen,tt6875952,,,383996.0,,
The Rebel Son,tt0030658,,,,,
Drive,tt0780504,,15000000.0,79747261.0,,
Elsk meg i morgen,tt0472767,,,3302433.0,,
The Wreck of the Mary Deare,tt0053455,,2596000.0,,,
Scarface,tt0086250,,50000000.0,66443303.0,,
The Witty Sorcerer,tt0266106,,,,,
Los tres mosqueteros,tt1509767,,75000000.0,132274484.0,,
The Godfather Saga,tt0809488,,,,,
Soldiers Three,tt8820258,,,,,
Far from the Madding Crowd,tt2935476,,12000000.0,30599369.0,,
"I, Robot 2",tt29623480,,78000000.0,324102545.0,,
For Colored Girls,tt1405500,,21000000.0,37981984.0,,
The Wicker Man,tt0070917,,810000.0,528514.0,,
The Food of the Gods,tt0074540,,,,,
The Little Prince,tt1754656,,81200000.0,97571250.0,,
Audrey Rose,tt0075704,,,,,
My Sister Eileen,tt0048401,,,,,
Power,tt3281796,,,,,
La Anam,tt0355674,,,,,
Il Boia di Lilla,tt0044433,,,,,
Barefoot Gen,tt0085218,,,,,
I predoni del Sahara,tt0195173,,,,,
Goodbye Again,tt0054936,,,,,
The Bourne Supremacy,tt0372183,,75000000.0,292542992.0,,
Jane Eyre,tt1229822,,,34710627.0,,
The Dead,tt1520211,,,,,
Catherine de Heilbronn,tt0258482,,,,,
The Case of the Curious Bride,tt0026184,,,,,
Proof,tt1028528,,,31126421.0,,
The Crow: Salvation,tt0132910,,10000000.0,,,
It's Never Too Late,tt15050074,,,,,
The Bohemian Life,tt0105750,,,34430.0,,
Das Testament des Dr. Mabuse,tt0023563,,,27690.0,,
Bleeders,tt0119279,,8000000.0,,,
The True Story of Ah Q,tt32101643,,,,,
Azumi 2: Death or Love,tt0431641,,,2888549.0,,
Ivoren Wachters,tt0184622,,,,,
Cavedweller,tt0367587,,,,,
Clockers,tt0112688,,25000000.0,13071518.0,,
The Count of Monte Cristo,tt29547746,,,,,
The Hound of the Baskervilles,tt0052905,,,,,
St. Peter's Umbrella,tt0052263,,,,,
Anna and the King,tt0166485,,92000000.0,113996937.0,,
Return of the Fly,tt0053219,,225000.0,,,
The Lost City of Z,tt1212428,,30000000.0,19263938.0,,
The Butterfly Tattoo,tt1032747,,250000.0,,,
Anne of Avonlea,tt0092571,,,,,
To Dorothy a Son,tt0047589,,,,,
The Invisible Man,tt1051906,,7000000.0,144492724.0,,
Anne of Green Gables,tt0088727,,,,,
Billy Liar,tt0056868,,236809.0,29153.0,,
The Lord of the Rings: The Two Towers,tt0167261,,94000000.0,938242927.0,,
Titash Ekti Nadir Naam,tt0070809,,,,,
Three Coins in the Fountain,tt0047580,,,,,
Snow Piercer,tt6156584,,,,,
Scobie Malone,tt0126019,,,,,
The Mouse on the Moon,tt0057328,,,,,
Whatever It Takes,tt0202402,,32000000.0,9902115.0,,
Shadow of Angels,tt0075169,,600000.0,,,
Black Angel,tt0267261,,,347548.0,,
Los santos inocentes,tt0088040,,,,,
The Telegraphist,tt0108309,,,,,
Four Frightened People,tt0025134,,,,,
Servants' Entrance,tt0025766,,,,,
Springtime for Henry,tt0025825,,,,,
Stars of Eger,tt0062925,,,,,
Dead Man's Folly,tt0090914,,,,,
Gigi,tt0051658,,3319355.0,,,
The Poseidon Adventure,tt0069113,,5000000.0,84563118.0,,
Curious George 2: Follow That Monkey!,tt1350484,,,2240069.0,,
Tonny,tt0056596,,,,,
The Reivers,tt0064886,,5000000.0,,,
Airport,tt0065377,,10000000.0,100489151.0,,
The Clown,tt0102898,,1400000.0,115103.0,,
The Flower in His Mouth,tt0360777,,,,,
Ghost in the Shell: Solid State Society,tt7248148,,,,,
The Missing,tt0338188,,60000000.0,38364277.0,,
Rififi,tt0048021,,,521342.0,,
Tokyo Decadence,tt0105622,,,277845.0,,
Ring 2,tt0377109,,50000000.0,163995949.0,,
"Goodbye, Columbus",tt0064381,,,,,
The Royal Hunt of the Sun,tt0064907,,,,,
The Fever,tt0076666,,3000000.0,237113184.0,,
The Adventures of Martin Eden,tt0034431,,,,,
At Sword's Point,tt0044380,,,,,
Begging for Love,tt0168450,,,,,
The Kingfisher Caper,tt0073247,,,,,
Memoirs of an Invisible Man,tt0104850,,40000000.0,14358033.0,,
Hannah med H,tt0353525,,,,,
A Bright Shining Lie,tt0126220,,,,,
Kanchana Sita,tt0076254,,,,,
Summer Lightning,tt0040762,,,,,
Liliom,tt0025397,,,,,
De Nieuwe Avonturen van Dik Trom,tt0199950,,10000000.0,,,
The American,tt2149175,,,,,
Sin City 2,tt0458481,,65000000.0,39407616.0,,
One Day,tt16283804,,,,,
Freaky Friday,tt0322330,,20000000.0,160849833.0,,
Suspiria,tt1034415,,20000000.0,7942093.0,,
Kramer vs. Kramer,tt0079417,,8000000.0,106260000.0,,
Lorna Doone,tt0259786,,2500000.0,,,
Who's Afraid of Virginia Woolf?,tt0061184,,7500000.0,28006929.0,,
Joshua Then and Now,tt0089383,,10940000.0,542420.0,,
Force 10 from Navarone,tt0077572,,5000000.0,7230000.0,,
The Happy Thieves,tt0056057,,,,,
The French Lieutenant's Woman,tt0082416,,8000000.0,26890068.0,,
Diva,tt0082269,,,183425.0,,
Everyone Dies Alone,tt0073200,,,,,
The Chant of Jimmie Blacksmith,tt0077318,,1280000.0,,,
Pinocchio,tt4593060,,150000000.0,33731.0,,
Treasure Island,tt0025907,,,4957320.0,,
Alice in Wonderland,tt1014759,,200000000.0,1025468216.0,,
Sinji galeb,tt0170583,,,,,
Cimarron,tt0021746,,1433000.0,,,
Helen's Babies,tt0014978,,,,,
