Unnamed: 0,movie_title,movie_release,movie_revenue,movie_runtime,movie_languages,movie_countries,movie_genres,movie_wikidata_id,imdb_rating,imdb_total_votes,movie_budget,book_wikidata_id,book_title,book_author,book_release,book_country,book_part_of_series,literary_work,written_work,comic_book_seris,book_series,manga_series,book_fiction,book_non_fiction,book_children,book_historical,book_drama,book_anime,book_fantasy,book_science_fiction,book_horror,book_thriller,book_detective,book_satire,book_comedy,book_won_price,book_rating,book_publisher,book_ratings_count,book_pages,movie_is_adaptation,time_gap,revenue_budget_ratio,movie_revenue_log,movie_budget_log,ROI,budget_quartile,budget_bin
168,Straw Dogs,1971.0,15129743.876954556,118.0,['English'],"['United States of America', 'United Kingdom']","['Thriller', 'Drama']",Q1163628,7.4,65559.0,2985554.7622853285,Q7764131,The Siege of Trencher's Farm,Gordon Williams,1969.0,United Kingdom,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,260.0,True,2.0,5.067649090909092,7.179831576154924,6.475025041600603,4.067649090909092,Medium-High,6th
216,The Dark Half,1993.0,1144283.9847268087,122.0,['English'],['United States of America'],"['Film adaptation', 'Horror', 'Psychological thriller', 'Supernatural']",Q940066,6.0,20358.0,1617566.7665836846,Q845944,The Dark Half,Stephen King,1989.0,United States of America,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.77,G. K. Hall & Company,121111.0,608.0,True,4.0,0.7074106666666666,6.058533819644364,6.208862215622306,-0.2925893333333333,Medium-Low,4th
223,Midnight Express,1978.0,17505588.343744338,121.0,"['French', 'English']","['United States of America', 'United Kingdom']","['Thriller', 'LGBT', 'Indie', 'Crime Fiction', 'Escape Film', 'Biopic [feature]', 'Drama', 'Biographical film', 'Prison', 'Adventure']",Q174699,7.5,89731.0,1150367.234017485,Q3735240,Midnight Express,Billy Hayes,1977.0,United States of America,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,Dutton Books,3290.0,280.0,True,1.0,15.217391304347826,7.243176711510523,6.06083650317784,14.217391304347826,Low,3th
240,The Forbidden Kingdom,2008.0,6634343.035264804,105.0,"['Standard Mandarin', 'English', 'Standard Cantonese']","['United States of America', 'Hong Kong', 'China']","['Wuxia', 'Fantasy Adventure', 'Adventure', 'Action/Adventure', 'Period piece', 'Martial Arts Film', 'Fantasy', 'Romance Film', 'Action', 'Chinese Movies']",Q176568,6.5,110570.0,2852775.372599657,Q70784,Journey to the West,Wu Cheng'en,,Ming dynasty,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,University of Chicago Press,451.0,464.0,True,,2.3255749818181815,6.821797923389523,6.45526757667598,1.3255749818181817,Medium-Low,5th
292,Chaplin,1992.0,1080778.118367966,145.0,['English'],"['France', 'United States of America', 'Italy', 'United Kingdom']","['Biography', 'Indie', 'Costume drama', 'Period piece', 'Drama', 'Biopic [feature]', 'Biographical film']",Q556967,7.5,63230.0,51102156.44820296,Q3065301,My Autobiography,Charlie Chaplin,1964.0,United States of America,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,Penguin UK,4601.0,494.0,True,28.0,0.0211493642046875,6.033736543297239,7.70843922721484,-0.9788506357953125,High,10th
307,Beastmaster 2: Through the Portal of Time,1991.0,104783.92860418974,107.0,['English'],['United States of America'],"['Sword and sorcery', 'Science Fiction', 'Action', 'Fantasy', 'Adventure']",Q813045,4.1,3661.0,723283.7743822308,Q7716062,The Beast Master,Andre Norton,1959.0,United States of America,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,CBS Publications,2078.0,223.0,True,32.0,0.1448725,5.020294677172974,5.8593087225624805,-0.8551274999999999,Low,2th
341,Nell,1994.0,10912919.449508935,112.0,['English'],['United States of America'],['Drama'],Q612323,6.5,31230.0,3171057.3585380525,Q17081483,Idioglossia,Mark Handley,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,260.0,True,,3.4414134516129034,7.037940949598508,6.501204097678704,2.4414134516129034,Medium-High,6th
441,Shaft,1971.0,16449888.3393198,98.0,"['English', 'American English']",['United States of America'],"['Crime Fiction', 'Thriller', 'Detective', 'Action/Adventure', 'Mystery', 'Blaxploitation', 'Drama', 'Suspense', 'Action']",Q596260,6.6,21546.0,5428281.385973324,Q7461090,Shaft,Ernest Tidyman,1970.0,United States of America,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,260.0,True,1.0,3.0304045000000004,7.216162954335729,6.73466235210636,2.0304045000000004,Medium-High,8th
537,Next,2007.0,3952700.4898771434,95.0,"['French', 'German', 'English']",['United States of America'],"['Thriller', 'Science Fiction', 'Action']",Q728539,6.2,168552.0,3637446.1020591096,Q785001,The Golden Man,Philip K. Dick,1954.0,United States of America,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,Berkley,998.0,337.0,True,53.0,1.086669157142857,6.596893907557833,6.560796566873212,0.08666915714285704,Medium-High,6th
583,Chitty Chitty Bang Bang,1968.0,14188088.90299544,144.0,['English'],['United Kingdom'],"['Musical', 'Family Film', 'Fantasy', 'Comedy', 'Family-Oriented Adventure']",Q1637791,6.9,51656.0,18189857.567942873,Q1940145,Chitty-Chitty-Bang-Bang,Ian Fleming,1964.0,United Kingdom,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Buccaneer Books,12702.0,114.0,True,4.0,0.7799999999999999,7.151923901110829,7.259829298420348,-0.22000000000000008,High,10th
