budget,revenue,movie_wikidata_id
,,Q114115
,,Q194106
6000000,102272727,Q209170
,,Q226193
,,Q245205
,,Q261700
,,Q531827
,,Q535500
,,Q587925
,,Q607122
5000000,34000000,Q647665
,,Q659896
,,Q729807
,,Q840296
,,Q869644
,,Q976048
,,Q1030728
,,Q1061778
,,Q1102541
,,Q1156971
,,Q1212293
,,Q1218719
,,Q1337262
,,Q1452676
,,Q1459137
,,Q1516837
179000,,Q1520388
,,Q1579725
,,Q1619977
,,Q1710735
,,Q1768770
,,Q1967124
,,Q1987819
,,Q2318140
,11200000,Q2382723
,,Q2411930
,,Q2534503
,673319,Q2943754
,,Q3206537
,,Q3233314
,,Q3423450
,,Q3521141
73000,8000000,Q3561683
,,Q3569754
,,Q3575216
,,Q3742607
,,Q4009692
,,Q4560603
,,Q4659271
,,Q4661283
,,Q4686580
,,Q4769893
,,Q4914022
,,Q4931222
,,Q4978832
,,Q5191841
,,Q5309291
,,Q5357294
,,Q6098323
,,Q6167286
,,Q6368890
,,Q6378965
,,Q6421028
,,Q6494619
,,Q6649585
,,Q6785706
,,Q6841195
,,Q6945505
,,Q6946116
,,Q6965941
,,Q7093204
,,Q7557209
,,Q7559319
,,Q7574544
,,Q7719877
,,Q7750838
,,Q7768095
,,Q7845571
,,Q7914357
,,Q7931407
,,Q7995657
,,Q7995659
,,Q8059264
,,Q12808250
,,Q18421
,,Q159808
,,Q229557
6000000,395000000,Q267721
,,Q303833
,,Q375454
4000000,33300000,Q426517
,,Q429965
,,Q476133
,,Q492020
,2380788,Q494871
,45000000,Q510388
,,Q602236
,,Q621565
,,Q696163
,,Q751709
806735,879794,Q784812
,,Q884677
,,Q956044
1250000,4654423,Q1022352
,,Q1083370
,,Q1110797
,,Q1140559
2200000,,Q1163628
,,Q1169589
,,Q1170277
,,Q1213427
,,Q1488507
,,Q1547511
,,Q1630263
,,Q1728088
,,Q1757216
,,Q1857747
,,Q2321699
,,Q2469801
,,Q3024556
,,Q3113543
,,Q3211823
,,Q3225974
,,Q3426138
,,Q3496921
,,Q3645237
,,Q3793112
,,Q3815053
,,Q4126971
,,Q4185609
,,Q4596035
,,Q4655599
,,Q4690460
,,Q4692981
,,Q4853821
,,Q5101201
,,Q5104200
,,Q5113757
,,Q5121271
,,Q5275489
,,Q5600164
,,Q5740455
,,Q5937384
,,Q6373971
,,Q6513421
,,Q6809690
,,Q6844178
,,Q6956579
,,Q7068385
,,Q7093197
,,Q7105114
,,Q7159057
,,Q7159883
,,Q7278412
,,Q7562300
,,Q7654035
,,Q7720057
,,Q7736609
,,Q7740536
,,Q7746132
,,Q7748095
,,Q7755881
,,Q7762816
,,Q7763469
,,Q7774021
,,Q7775930
,,Q7776134
,,Q7785447
,,Q7799108
,,Q7995105
,,Q13497077
,,Q174699
,,Q176568
50000000,152523164,Q212041
55000000,7465343,Q213053
,,Q231967
,,Q333508
,,Q335340
,,Q358347
,,Q386245
,,Q473359
,,Q485978
,,Q487368
,,Q511879
31000000,9500000,Q556967
,,Q598865
,,Q676500
,,Q726215
,,Q823159
22000000,10696210,Q841233
,,Q906387
,,Q940066
,,Q963283
,,Q1065201
125000,,Q1109729
,,Q1212746
2600000,32980880,Q1243019
,,Q1304846
,,Q2024236
,,Q2060452
,,Q2061328
,,Q2079261
,,Q2128981
,,Q2381104
,,Q2559974
18630000,,Q2571471
,,Q2572033
,,Q2889152
,,Q3072003
,,Q3129807
,,Q3212424
,,Q3283691
,,Q3418215
,,Q3429439
,,Q3822791
,,Q3852989
,,Q3898514
,,Q4113848
,,Q4154977
,,Q4380922
,,Q4662988
,,Q4682528
,,Q4699937
,,Q4760100
,,Q4769346
,,Q4812045
,,Q4831990
,,Q4952062
,,Q5070661
,,Q5121268
,,Q5261180
,,Q5268882
,,Q5352405
,,Q5373860
,,Q5463132
,,Q5516792
,,Q5636593
,,Q5698865
,,Q5935470
,,Q6312788
,,Q6463595
,,Q6842747
,,Q7030850
,,Q7095943
,,Q7137047
,,Q7321046
,,Q7705465
,,Q7711221
,,Q7715037
,,Q7733222
,,Q7735682
,,Q7766559
,,Q7814307
,,Q7832269
,,Q8050266
,3749000,Q10581740
,,Q18385231
33000000,102441078,Q153484
,,Q423004
,,Q431536
,,Q452171
,,Q493306
,,Q545725
,,Q612323
,,Q627931
,,Q663469
,,Q753159
,,Q813045
,,Q837939
300000000,,Q847709
,,Q970779
,,Q1024400
,415000000,Q1089373
,,Q1195568
,,Q1304611
,,Q1385260
,,Q1407094
,,Q1549103
,,Q1759355
,,Q1762528
,,Q1956410
,,Q2328533
,,Q2343648
,,Q2384699
,,Q2521030
,,Q2607724
,,Q3003212
,,Q3196717
,,Q3358891
,,Q3732466
,,Q3819166
,,Q3819301
,,Q3985802
,,Q4013825
,,Q4659419
,,Q4662689
,,Q4700340
,,Q4740008
,,Q4749055
,,Q4777976
,,Q4807952
,,Q4813104
,,Q5068521
,,Q5094967
,,Q5243249
,,Q5269248
,,Q5350805
220000,,Q5431021
,,Q5465694
,,Q5546666
,,Q5966480
,,Q5979827
,,Q6425186
,,Q6450619
,,Q6663547
,,Q6745433
,,Q6897560
7000,2000000,Q6897745
,,Q6902888
,,Q6944978
,,Q6973969
,,Q7073264
,,Q7161560
,,Q7406571
,,Q7451667
,,Q7577072
,,Q7582245
,,Q7648751
,,Q7721362
,,Q7732173
,,Q7741682
,,Q7750147
,,Q7765674
,,Q7768183
,,Q7899221
,,Q7944204
,,Q8030597
,,Q8071486
,,Q10673572
,,Q13111257
,,Q130769
,,Q541412
,,Q584662
,,Q596260
,,Q644407
2760000,,Q667764
,,Q669845
,,Q727893
,,Q737076
,,Q805535
,,Q826289
,,Q1057743
,,Q1094130
,,Q1112849
